station_id,stationname,date,daytype,rides
41260,Austin-Lake,12/08/2017,W,1858
41260,Austin-Lake,12/04/2017,W,1905
41260,Austin-Lake,12/22/2017,W,1677
41260,Austin-Lake,12/28/2017,W,1301
41260,Austin-Lake,12/27/2017,W,1260
41260,Austin-Lake,12/07/2017,W,1858
41260,Austin-Lake,12/16/2017,A,1057
41260,Austin-Lake,12/26/2017,W,1016
41260,Austin-Lake,12/31/2017,U,662
41260,Austin-Lake,12/12/2017,W,1905
41260,Austin-Lake,12/14/2017,W,1884
41260,Austin-Lake,12/19/2017,W,1876
41260,Austin-Lake,12/06/2017,W,1849
41260,Austin-Lake,12/01/2017,W,2008
41260,Austin-Lake,12/25/2017,U,478
41260,Austin-Lake,12/13/2017,W,1870
41260,Austin-Lake,12/02/2017,A,1157
41260,Austin-Lake,12/24/2017,U,676
41260,Austin-Lake,12/30/2017,A,733
41260,Austin-Lake,12/20/2017,W,1801
41260,Austin-Lake,12/03/2017,U,829
41260,Austin-Lake,12/11/2017,W,1828
41260,Austin-Lake,12/17/2017,U,720
41260,Austin-Lake,12/09/2017,A,1033
41260,Austin-Lake,12/10/2017,U,715
41260,Austin-Lake,12/18/2017,W,1776
41260,Austin-Lake,12/15/2017,W,1813
41260,Austin-Lake,12/29/2017,W,1369
41260,Austin-Lake,12/21/2017,W,1847
41260,Austin-Lake,12/05/2017,W,1938
41260,Austin-Lake,12/23/2017,A,1003
41260,Austin-Lake,01/25/2018,W,1846
41260,Austin-Lake,01/10/2018,W,1794
41260,Austin-Lake,01/06/2018,A,804
41260,Austin-Lake,01/03/2018,W,1583
41260,Austin-Lake,01/12/2018,W,1724
41260,Austin-Lake,02/09/2018,W,1244
41260,Austin-Lake,01/21/2018,U,654
41260,Austin-Lake,01/01/2018,U,454
41260,Austin-Lake,01/26/2018,W,1900
41260,Austin-Lake,03/31/2018,A,880
41260,Austin-Lake,01/09/2018,W,1778
41260,Austin-Lake,01/19/2018,W,1785
41260,Austin-Lake,02/10/2018,A,807
41260,Austin-Lake,01/11/2018,W,1760
41260,Austin-Lake,02/01/2018,W,1870
41260,Austin-Lake,01/15/2018,W,1085
41260,Austin-Lake,03/08/2018,W,1802
41260,Austin-Lake,03/14/2018,W,1801
41260,Austin-Lake,03/17/2018,A,1096
41260,Austin-Lake,01/04/2018,W,1576
41260,Austin-Lake,03/30/2018,W,1614
41260,Austin-Lake,03/13/2018,W,1835
41260,Austin-Lake,02/19/2018,W,1355
41260,Austin-Lake,01/29/2018,W,1683
41260,Austin-Lake,03/22/2018,W,1813
41260,Austin-Lake,03/28/2018,W,1713
41260,Austin-Lake,02/18/2018,U,713
41260,Austin-Lake,01/31/2018,W,1848
41260,Austin-Lake,03/11/2018,U,678
41260,Austin-Lake,02/26/2018,W,1816
41260,Austin-Lake,03/01/2018,W,1839
41260,Austin-Lake,03/12/2018,W,1718
41260,Austin-Lake,01/07/2018,U,617
41260,Austin-Lake,01/13/2018,A,807
41260,Austin-Lake,03/20/2018,W,1744
41260,Austin-Lake,02/21/2018,W,1879
41260,Austin-Lake,02/16/2018,W,1843
41260,Austin-Lake,02/22/2018,W,1854
41260,Austin-Lake,03/04/2018,U,791
41260,Austin-Lake,01/05/2018,W,1565
41260,Austin-Lake,02/25/2018,U,733
41260,Austin-Lake,02/13/2018,W,1824
41260,Austin-Lake,02/20/2018,W,1766
41260,Austin-Lake,02/05/2018,W,1668
41260,Austin-Lake,03/10/2018,A,967
41260,Austin-Lake,03/29/2018,W,1653
41260,Austin-Lake,02/08/2018,W,1803
41260,Austin-Lake,03/23/2018,W,1745
41260,Austin-Lake,01/08/2018,W,1692
41260,Austin-Lake,01/27/2018,A,930
41260,Austin-Lake,02/04/2018,U,576
41260,Austin-Lake,01/30/2018,W,1824
41260,Austin-Lake,02/12/2018,W,1678
41260,Austin-Lake,01/02/2018,W,1353
41260,Austin-Lake,01/28/2018,U,688
41260,Austin-Lake,03/02/2018,W,1894
41260,Austin-Lake,01/20/2018,A,1022
41260,Austin-Lake,03/25/2018,U,666
41260,Austin-Lake,02/06/2018,W,1739
41260,Austin-Lake,02/17/2018,A,976
41260,Austin-Lake,01/23/2018,W,1808
41260,Austin-Lake,01/16/2018,W,1811
41260,Austin-Lake,03/05/2018,W,1752
41260,Austin-Lake,03/19/2018,W,1773
41260,Austin-Lake,03/18/2018,U,732
41260,Austin-Lake,02/11/2018,U,597
41260,Austin-Lake,03/27/2018,W,1702
41260,Austin-Lake,01/14/2018,U,624
41260,Austin-Lake,03/06/2018,W,1806
41260,Austin-Lake,01/17/2018,W,1721
41260,Austin-Lake,03/07/2018,W,1810
41260,Austin-Lake,02/28/2018,W,1894
41260,Austin-Lake,03/16/2018,W,1793
41260,Austin-Lake,02/15/2018,W,1858
41260,Austin-Lake,03/24/2018,A,965
41260,Austin-Lake,03/03/2018,A,1062
41260,Austin-Lake,03/15/2018,W,1828
41260,Austin-Lake,02/23/2018,W,1841
41260,Austin-Lake,01/18/2018,W,1755
41260,Austin-Lake,01/24/2018,W,1785
41260,Austin-Lake,02/02/2018,W,1737
41260,Austin-Lake,02/14/2018,W,1850
41260,Austin-Lake,02/27/2018,W,1939
41260,Austin-Lake,02/24/2018,A,957
41260,Austin-Lake,03/26/2018,W,1631
41260,Austin-Lake,03/09/2018,W,1825
41260,Austin-Lake,02/07/2018,W,1779
41260,Austin-Lake,01/22/2018,W,1814
41260,Austin-Lake,02/03/2018,A,908
41260,Austin-Lake,03/21/2018,W,1826
41260,Austin-Lake,05/30/2018,W,1892
41260,Austin-Lake,05/27/2018,U,824
41260,Austin-Lake,05/10/2018,W,1919
41260,Austin-Lake,04/28/2018,A,980
41260,Austin-Lake,05/25/2018,W,1836
41260,Austin-Lake,06/08/2018,W,1933
41260,Austin-Lake,05/23/2018,W,1928
41260,Austin-Lake,04/12/2018,W,1885
41260,Austin-Lake,04/06/2018,W,1764
41260,Austin-Lake,05/31/2018,W,1939
41260,Austin-Lake,05/01/2018,W,1978
41260,Austin-Lake,06/22/2018,W,1777
41260,Austin-Lake,05/24/2018,W,1922
41260,Austin-Lake,04/21/2018,A,964
41260,Austin-Lake,05/14/2018,W,1667
41260,Austin-Lake,04/27/2018,W,1912
41260,Austin-Lake,05/07/2018,W,1905
